UNITID,STAT_AL,PRCH_AL,IDX_AL,LCOLELYN,LPBOOKS,LEBOOKS,LPMEDIA,LPCLLCT,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTNFB,LILLDPR,LILLDRC,LSUPPVRS
102058,2,-2,-2,2,25096.0,11.0,124.0,25220.0,0.0,67662.0,2.0,,1200.0,0.0,82.0,1282.0,80.0,8596.0,8676.0,77620.0,12.0,9.0,1
102067,1,-2,-2,2,48317.0,11087.0,2327.0,50644.0,1.0,525948.0,1.0,176714.0,46243.0,5125.0,0.0,51368.0,0.0,114422.0,114422.0,691738.0,52.0,20.0,1
102076,1,-2,-2,2,33993.0,46186.0,1167.0,35160.0,0.0,112060.0,2.0,,6657.0,17875.0,10773.0,35305.0,441.0,9676.0,10117.0,157482.0,25.0,20.0,1
102094,1,-2,-2,2,889646.0,37092.0,35811.0,925457.0,1.0,2654397.0,1.0,863027.0,209518.0,1260309.0,2995.0,1472822.0,49435.0,347847.0,397282.0,4524501.0,5581.0,4236.0,1
102234,2,-2,-2,2,194687.0,19699.0,2669.0,197356.0,1.0,547012.0,2.0,0.0,102581.0,167213.0,3200.0,272994.0,4500.0,76000.0,80500.0,900506.0,710.0,724.0,1
102261,1,-2,-2,2,36266.0,38141.0,2652.0,38918.0,0.0,71027.0,1.0,,9665.0,8544.0,100.0,18309.0,100.0,2124.0,2224.0,91560.0,124.0,16.0,1
102270,1,-2,-2,2,118389.0,0.0,3545.0,121934.0,0.0,,1.0,,21395.0,8380.0,0.0,29775.0,0.0,10911.0,10911.0,348312.0,0.0,3.0,1
102298,2,-2,-2,2,131466.0,0.0,612.0,132078.0,0.0,226328.0,2.0,,16692.0,22459.0,87.0,39238.0,327.0,20945.0,21272.0,286838.0,41.0,4.0,1
102313,1,-2,-2,2,7796.0,37293.0,874.0,8670.0,1.0,,1.0,,83267.0,10729.0,0.0,93996.0,554.0,79745.0,80299.0,549100.0,0.0,0.0,2
102368,1,-2,-2,2,578549.0,51120.0,35742.0,614291.0,2.0,1453459.0,1.0,316882.0,416275.0,844293.0,263.0,1260831.0,23060.0,277684.0,300744.0,3015034.0,2483.0,1577.0,1
102377,1,-2,-2,2,391675.0,71023.0,34525.0,426200.0,3.0,828284.0,1.0,,91600.0,540829.0,46377.0,678806.0,60000.0,101200.0,161200.0,1668290.0,257.0,184.0,1
102395,2,-2,-2,2,9978.0,0.0,686.0,10664.0,0.0,,2.0,,6949.0,39444.0,1149.0,47542.0,0.0,36408.0,36408.0,175443.0,371.0,155.0,1
102429,1,-2,-2,2,104144.0,3375.0,25215.0,129359.0,4.0,520243.0,1.0,396463.0,69475.0,28000.0,3175.0,100650.0,24.0,40865.0,40889.0,661782.0,176.0,128.0,2
102553,1,1,102553,2,964091.0,26565.0,22621.0,986712.0,5.0,2956292.0,1.0,1357999.0,306863.0,1697545.0,17954.0,2022362.0,2774.0,579017.0,581791.0,5560445.0,12759.0,11295.0,1
